fold,test_mse,test_mae,test_r2,test_pearson,test_spearman,model,use_cv
1,271.44373,10.389114,0.4766495396330128,0.6936431903661292,0.6879460243232549,TransSynergy,True
2,286.25162,10.846483,0.4233857581995105,0.6516857922389891,0.6625762872418325,TransSynergy,True
3,244.29842,10.380958,0.4465524346701627,0.6684478318349782,0.659982946889515,TransSynergy,True
4,264.4145,10.429468,0.43807910138791695,0.6652736615592427,0.6437819886707671,TransSynergy,True
5,251.76619,10.391175,0.4844260275269935,0.7014722850076177,0.6553114130373496,TransSynergy,True
