metric,mean,std
test_mse,263.634892,16.491417173347177
test_mae,10.487439599999998,0.2015849681010464
test_r2,0.4538185722835193,0.025907302346811933
test_pearson,0.6761045522013915,0.020756535677797592
test_spearman,0.6619197320325438,0.01623420544740756
