Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,CRX_NRL_DN.V1_UP,0.5372551034462938,1.2018405262645482,0.09183673469387756,0.8223331903387046,1.0,6/19,21.32%,GNAT1;BCL2L11;KMT2C;WWTR1;CDKN2C;EXT1
prerank,KRAS.600_UP.V1_UP,0.48817299619447296,1.1885052569653412,0.08,0.8826506812596168,1.0,15/50,21.12%,CXCR4;DYNC1I1;LIMCH1;NAV3;ETV1;KIT;CDHR2;H2BC17;CHGA;IL1RL1;PCDH9;STC1;MKRN3;CFHR2;GRM1
prerank,P53_DN.V1_DN,0.4948224939033941,1.1799359754575178,0.17,0.9208686544985814,1.0,20/40,35.57%,ITK;CPS1;NAV3;CDH19;SLC16A4;CDKN1A;ITGA4;CHGA;ADCY1;PTPN13;MYO5A;CD1D;NID1;GAL3ST1;BTG2;EPB41L3;AJAP1;STAT4;KBTBD11;ARNT2
prerank,GCNP_SHH_UP_LATE.V1_DN,0.5399095093835571,1.1782840535753143,0.17,0.9001082515324832,1.0,12/24,30.95%,EPHA3;NTHL1;EPHB6;BCL2L2;ITGAE;GNPTAB;ARAF;MED12;IL4R;STX2;ACVR1;MLLT1
prerank,E2F1_UP.V1_DN,0.48966926084272594,1.1724156377959807,0.12,0.9165987843849864,1.0,11/46,13.12%,PDE4DIP;LBP;KMT2E;PAK3;ASL;ENTPD6;PDGFRA;IDH1;ZBTB20;IL1RL1;B4GALT3
prerank,WNT_UP.V1_UP,0.4873211138127991,1.1694557479047356,0.21,0.9056715899007335,1.0,12/22,37.90%,CPS1;MAPK8IP1;GLI1;TCF7L2;PRSS1;FOXK1;AURKB;CYP2E1;NF1;TCF3;SDC4;PTPRO
prerank,PRC2_EED_DN.V1_UP,0.5025692459920793,1.1683017659759012,0.13,0.8870210382856069,1.0,17/37,34.28%,BAZ2B;REV3L;H2BC8;CDHR2;PLAG1;ZBTB20;IL1RL1;GPC5;PTPRT;CHST11;ADAM17;H2AC6;H2BC4;ZNF226;OBSCN;GATA1;CLIP1
prerank,NRL_DN.V1_UP,0.5075173075857236,1.16210980320387,0.2222222222222222,0.9018051939914211,1.0,8/22,27.82%,GNAT1;BCL2L11;KMT2C;PPP1R3A;EXT1;SPEN;GNB1;PLA2R1
prerank,CYCLIN_D1_UP.V1_UP,0.49636766416684297,1.1606029241340385,0.14,0.8872957541936506,1.0,14/35,27.11%,MNX1;PAX2;WNT1;BMP5;CHGA;BCL9;TAP1;MYT1;CASP3;MED12;KMT2A;KDM5C;SLC6A3;NCSTN
prerank,LTE2_UP.V1_DN,0.47222599740352,1.1462523108573681,0.21,0.9709684638314252,1.0,19/44,32.32%,USP25;IFIT3;CASP8;H2BC8;BCL2L11;PTPRK;GTF2I;RPS6KA3;H4C8;CALCR;HES1;TAP1;DTNA;DUSP2;IFI27;POT1;H2AC6;JAK2;IGF1R
prerank,NOTCH_DN.V1_UP,0.4928715659178239,1.1422053852737002,0.26,0.9758234642939198,1.0,9/21,31.45%,CDKN1A;CDHR2;FLT3;TNFSF8;PRKACA;MAP3K1;FKBP9;DGKI;BTG2
prerank,CYCLIN_D1_KE_.V1_DN,0.47324820644966925,1.133564347228541,0.25,1.0,1.0,15/33,34.11%,ROS1;IFIT3;FES;NKX3-1;AKAP6;ADH1B;PLCG2;KIF1A;PIK3R1;TUBA4A;EPHA1;DAO;ERBB2;GATA1;KRT13
prerank,SRC_UP.V1_UP,0.5071692987346131,1.1313791036509382,0.3333333333333333,1.0,1.0,4/17,17.66%,GPX5;FES;AMER1;SMO
prerank,STK33_SKM_DN,0.4821735828224786,1.1254231352875521,0.25,1.0,1.0,15/35,31.61%,HMGA2;PIK3CB;ASL;KIT;FLT3;PRSS1;TNFSF10;AFF3;LRRK2;TMEM243;TUBA4A;NID1;BTLA;ATP8B2;PARP16
prerank,PKCA_DN.V1_DN,0.47632608734873305,1.1236782659459612,0.25,1.0,1.0,11/25,33.36%,WAS;ZEB2;CD79B;BARD1;NKX2-1;EXT1;PTK6;BATF3;COL25A1;MALAT1;IL36A
prerank,LTE2_UP.V1_UP,0.4861265077159131,1.1220581278332014,0.22,0.9967890279817643,1.0,10/25,24.82%,CXCR4;TFPT;DIAPH2;FAM117A;PCDH9;CHST11;MYO5A;AOX1;CEP76;GSTZ1
prerank,KRAS.KIDNEY_UP.V1_DN,0.4897089865648199,1.1220346568298591,0.24742268041237114,0.9730559558869604,1.0,4/17,17.53%,CBL;DDX51;ACE;EPHA5
prerank,RAPA_EARLY_UP.V1_UP,0.4761868171554502,1.1150000472731554,0.3,0.9949128362358778,1.0,14/28,34.11%,PTPRD;FGFR2;CACNA1C;DRD3;ITGAE;NCOA1;ATP2C2;CEBPA;KMT2A;PTK6;CDON;ANK1;MPO;KRT13
prerank,PDGF_ERK_DN.V1_UP,0.4684287617638751,1.110696640332068,0.33,0.9983409190596358,1.0,3/22,2.42%,COL1A1;CPS1;PAX2
prerank,ESC_J1_UP_LATE.V1_UP,0.47257614103768786,1.110586292376979,0.27,0.9768197673204252,1.0,11/26,37.11%,HMGA2;FOXA2;SHROOM3;PDGFRA;SOX17;APOB;COL2A1;FOXQ1;TGFBR3;MORC4;PHLDA1
prerank,JAK2_DN.V1_UP,0.4732640456319798,1.1092956604168382,0.27,0.9644646471801382,1.0,18/27,44.69%,EPHA3;WNT1;SPRR2B;PTN;SOX17;H1-3;EPPK1;AKAP6;SPN;AFF3;COL6A3;ZFHX4;CSPG4;PTPRO;CDH11;SEMA5A;WNT3;AGTR2
prerank,PRC2_EZH2_UP.V1_UP,0.4918239596172198,1.1090202197657264,0.31,0.9464878751801492,1.0,5/24,13.20%,PIK3CB;SETBP1;ETV1;IL1RL1;PCDH9
prerank,CYCLIN_D1_KE_.V1_UP,0.4571963422940986,1.1083646722249496,0.22,0.9307130772604799,1.0,21/35,42.23%,CDKN1A;CDKN2A;GLI1;TGFBR2;BCL9;GNAI2;TCF12;DTNA;RUNX1;CASP3;CYP2E1;KDM5C;SLC6A3;CARS1;DRD5;TRIO;HSPG2;CDK6;HK3;EGR3;FGFR4
