Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,ALK_DN.V1_DN,0.9597484276729559,0.9905415430267063,0.6785714285714286,1.0,1.0,1/16,4.04%,PTK2B
prerank,ALK_DN.V1_UP,0.9575986565910998,0.9901065732026744,0.625,1.0,1.0,2/19,4.29%,PIK3CG;NTRK1
prerank,DCA_UP.V1_DN,0.9567044976881043,0.9899357661685252,0.7307692307692307,1.0,1.0,1/22,4.33%,CHEK2
prerank,CSR_LATE_UP.V1_UP,0.9577880962431407,0.9898160667364524,0.6538461538461539,1.0,1.0,4/32,4.33%,CDK1;CDK5;RRM2;CHEK2
prerank,P53_DN.V1_DN,0.9542566709021599,0.9896570041008932,0.7553191489361702,1.0,1.0,2/40,4.58%,NR4A3;ITK
prerank,STK33_NOMO_DN,0.9498725573491928,0.9892596445085984,0.8404255319148937,1.0,1.0,6/47,5.16%,LCK;KIT;LRRK2;RET;BCL2;FLT3
prerank,STK33_SKM_UP,0.9506382978723402,0.9890486127763629,0.8,1.0,1.0,2/51,4.91%,AFF4;MAP2
prerank,BMI1_DN.V1_UP,0.9537499912884875,0.9890044675584735,0.7012987012987013,1.0,1.0,2/31,1.58%,FGFR1;EPHA2
prerank,PDGF_ERK_DN.V1_DN,0.951858108108108,0.9889399901618091,0.7325581395348837,1.0,1.0,2/33,4.83%,PDGFRA;JUN
prerank,NFE2L2.V2,0.9492691315563196,0.9887242394030606,0.8061224489795918,1.0,1.0,7/75,5.21%,DHFR;NR1I2;KIT;RRM2;RET;MAP2;FLT1
prerank,SNF5_DN.V1_UP,0.9536256323777402,0.988542286480394,0.775,1.0,1.0,2/29,4.66%,CSF1R;DLK1
prerank,KRAS.600_UP.V1_UP,0.9510846448319865,0.9883301511904267,0.7553191489361702,1.0,1.0,2/50,4.87%,KIT;FLT4
prerank,MTOR_UP.N4.V1_UP,0.9542016806722688,0.988189425785859,0.7714285714285715,1.0,1.0,1/21,4.58%,ITK
prerank,CAMP_UP.V1_DN,0.9517153748411691,0.988079039045415,0.7052631578947368,1.0,1.0,4/40,4.91%,HSP90AA1;AKT3;BCR;MAP2
prerank,MEL18_DN.V1_DN,0.9541438788388726,0.9880112213176868,0.7341772151898734,1.0,1.0,3/24,4.66%,PIK3C2B;EPHA3;DLK1
prerank,KRAS.600.LUNG.BREAST_UP.V1_UP,0.951509995746491,0.9879061460692483,0.7032967032967034,1.0,1.0,3/50,4.87%,AKT2;NTRK1;FLT4
prerank,KRAS.DF.V1_DN,0.9523005487547489,0.9878137607250166,0.7777777777777778,1.0,1.0,1/32,4.75%,RET
prerank,TGFB_UP.V1_UP,0.9521389241846675,0.9875657738707402,0.7752808988764045,1.0,1.0,4/40,4.87%,MAP3K4;CSF1R;JUN;FLT4
prerank,ERBB2_UP.V1_DN,0.9493884436946436,0.987515182560292,0.8048780487804879,1.0,1.0,2/30,5.08%,JAK2;BCL2
prerank,STK33_DN,0.949957591178965,0.9873601758183351,0.8210526315789474,1.0,1.0,6/43,5.16%,LCK;KIT;LRRK2;RET;BCL2;FLT3
prerank,NOTCH_DN.V1_DN,0.9531843104175454,0.9868455270768003,0.7926829268292683,1.0,1.0,1/30,4.66%,DLK1
prerank,ESC_V6.5_UP_LATE.V1_UP,-0.09052631578947369,-0.9866499791405925,0.36363636363636365,0.8527195281782437,1.0,26/26,100.00%,HEY1;CUBN;PDZRN3;HNF1B;SOX17;NRK;KIF21A;FOXQ1;PTPN13;NUDT11;PLXNB2;FOXA2;FOXA1;HEXA;ARID3B;GPC3;IGF2BP2;FGF5;NDRG1;STX2;COL4A2;COL2A1;COL4A1;CDH2;APLNR;APOB
prerank,RELA_DN.V1_DN,0.9537426408746847,0.9866357208959156,0.7361111111111112,1.0,1.0,2/23,4.66%,MST1R;DLK1
prerank,PDGF_UP.V1_DN,0.9515993265993266,0.986628553795565,0.8181818181818182,1.0,1.0,1/25,4.83%,JUN
prerank,STK33_SKM_DN,0.9492814877430262,0.9864573067486394,0.8941176470588236,1.0,1.0,4/35,5.16%,KIT;LRRK2;BCL2;FLT3
prerank,EGFR_UP.V1_DN,0.948663555366992,0.986251000704542,0.8241758241758241,1.0,1.0,1/44,5.08%,BCL2
prerank,LTE2_UP.V1_DN,0.9469664828171406,0.9862228850301257,0.8369565217391305,1.0,1.0,3/44,5.33%,JAK2;BCL2;TAP1
prerank,ESC_J1_UP_LATE.V1_DN,0.9539501478664976,0.9862142457939685,0.7934782608695652,1.0,1.0,2/34,4.62%,LCK;RIOK2
prerank,MEK_UP.V1_DN,0.9475021168501271,0.9860856766603993,0.8202247191011236,1.0,1.0,4/39,5.33%,TOP2B;JAK2;BCL2;TAP1
prerank,P53_DN.V2_UP,0.9524210526315791,0.9859542488668429,0.8536585365853658,1.0,1.0,2/26,4.79%,PTK2B;TUBB1
prerank,VEGF_A_UP.V1_DN,0.9498378677164394,0.985847848944189,0.8117647058823529,1.0,1.0,4/36,3.83%,ATIC;DHFR;CCNE1;RRM2
prerank,BMI1_DN_MEL18_DN.V1_DN,0.9533024821203198,0.985833337109548,0.7916666666666666,1.0,1.0,1/24,4.66%,DLK1
prerank,ESC_J1_UP_LATE.V1_UP,0.9536842105263159,0.9854995503402788,0.8115942028985508,1.0,1.0,2/26,4.66%,PDGFRA;DLK1
prerank,RELA_DN.V1_UP,0.9519797809604045,0.9852082501064399,0.8125,1.0,1.0,2/27,4.83%,PGGT1B;JUN
prerank,ESC_V6.5_UP_LATE.V1_DN,0.9539695945945945,0.9850615537178958,0.8024691358024691,1.0,1.0,2/33,4.62%,LCK;RIOK2
prerank,GCNP_SHH_UP_EARLY.V1_DN,0.9545263157894738,0.9850402214171928,0.8311688311688312,1.0,1.0,4/26,4.66%,MAP2K1;CDK5;MST1R;DLK1
prerank,E2F1_UP.V1_DN,0.9473460721868365,0.9850120913311754,0.8924731182795699,1.0,1.0,2/46,5.25%,PDGFRA;PSEN2
prerank,PDGF_ERK_DN.V1_UP,0.9516603614964271,0.9848840969381034,0.7638888888888888,1.0,1.0,3/22,4.91%,CDK6;CHEK2;MAP2
prerank,WNT_UP.V1_UP,0.9558638083228248,0.9847200696144175,0.7464788732394366,0.9952297646111585,1.0,3/22,4.50%,CYP2E1;FNTB;MST1R
prerank,RAF_UP.V1_DN,0.9493029150823827,0.98452025539673,0.8928571428571429,0.9909606044252564,1.0,2/34,5.08%,JAK2;BCL2
prerank,CYCLIN_D1_UP.V1_UP,0.9467455621301772,0.9840421167300885,0.8313253012048193,0.9973480004650082,1.0,4/35,5.41%,EPHA2;MYT1;TAP1;NCSTN
prerank,IL2_UP.V1_DN,0.948858833474218,0.9834727778743998,0.7976190476190477,1.0,1.0,3/35,5.16%,NR1I2;NUAK1;FLT3
prerank,ERBB2_UP.V1_UP,0.9460598398651496,0.9831086555338207,0.95,1.0,1.0,1/28,5.37%,APH1B
prerank,PRC2_SUZ12_UP.V1_DN,0.945054945054945,0.9830046066607958,0.9888888888888889,1.0,1.0,4/35,5.58%,CCNE1;SRD5A2;MAPT;CHEK1
prerank,PTEN_DN.V2_UP,0.9517819706498952,0.9829125050424,0.8448275862068966,0.9954373625880558,1.0,1/16,4.83%,JUN
prerank,PTEN_DN.V2_DN,0.9519797809604044,0.9827919414490205,0.8271604938271605,0.9896725230735016,1.0,1/27,4.79%,TUBB1
prerank,ATF2_UP.V1_UP,0.9506537326022774,0.9827128847052892,0.9036144578313253,0.9839175081576859,1.0,1/30,4.91%,MAP2
