strategy,mean_MSE,std_MSE,mean_Pearson,std_Pearson,mean_Spearman,std_Spearman
drug_combo,563.7448256620947,297.9114002526899,0.33774238097917514,0.18512173421915903,0.36073127733427146,0.24203832788449642
cell_line,358.83606678145514,45.892343801150666,0.5255926221667526,0.04451623187844375,0.5557918083174979,0.04924524589020308
drug,551.3792749643078,129.53885327470675,0.3467805580140308,0.07766608654387033,0.3952200429526359,0.08440819835431995
